Timestamp,Title,Place,Organisation,Requirements,Description,Salary,Contact,Further Information,Application deadline,Taggs,Editor,Other:,Job Type,Issue,
11/25/2011 12:55:36,Social media/digital communications position at Northeastern University,"Boston, Massachusetts, US",Department of Communication Studies Northeastern University,,"The Department of Communication Studies at Northeastern University invites applications for a tenure-track position at the rank of Assistant or Associate Professor to begin September 1, 2012. We are seeking candidates who will excel in the research and teaching of digital communications (e.g., youth, global development, social change and protest) and social networking services (e.g., Facebook, Google+, bookmarking). We are open to a range of methodological approaches and welcome multi- and inter-disciplinary scholarship though we are interested in candidates capable of teaching research methods or communication theory from a social science perspective. The successful candidate must be able to document teaching excellence and to speak to the importance of achieving and maintaining diversity in higher education. Women and members of underrepresented groups are particularly encouraged to apply. The successful candidate must have an earned doctorate by August 2012 in Communication or a related field.",,"Review of applications will begin on December 5, 2011 and full consideration will be given to applications received by December 30, 2011. Each applicant should send a letter that addresses the selection criteria and indicates how her/his background and expertise fit with the needs of the department. Samples of scholarship, evidence of teaching effectiveness, and the names and contact information of at least three references should accompany the letter. To apply, visit the College of Arts, Media and Design website at <http://www.northeastern.edu/camd/> and click on the Faculty Positions button. Questions may be addressed to Prof. Tom Nakayama, Search Committee Chair, at: 617-373-7342 or email at t.nakayama@neu.edu.",http://www.northeastern.edu/camd/,2011-12-30,,Richard,SOCNET,Researcher,234,
11/25/2011 13:19:26,PhD studentship in agent-based modelling,Manchester Metropolitan University,Centre for Policy Modelling,,"A EPSRC-funded studentship from now until august 2015 as part of the SCID project (http://scid-project.org) at the Centre for Policy Modelling, Manchester.
",,Bruce Edmonds <bruce@edmonds.name>,http://cfpm-news.blogspot.com/2011/11/re-advertisement-of-epsrc-phd.html,2011-12-09,,Richard,agents-request,PhD student position,234,
11/25/2011 13:23:52,Post-doctoral researcher in Formalization and Simulation of Social Dynamics,"Barcelona, SPAIN","Analytical Sociology and Institutional Design Group, Universitat Autònoma de Barcelona (UAB)","Candidates should hold a PhD and have prior training in Sociology or business/social sciences profile, combined with formal and computational skills. Candidates must be willing to relocate to Barcelona area for three years (2012-2014). Familiarity with analytical sociology, statistical analysis, and with methods such as social network analysis, GIS, and computer simulation will be valued. Fluent English (spoken and written) is required, and some knowledge of Spanish will be highly valued.","GSADI <gsadi.uab.cat>, in collaboration with the recently established Socio-Historical Dynamics Simulation Lab (LSDS) at the UAB, is particularly interested in exploring and evaluating formal algorithms of decision making and aggregated social mechanisms, with strong theoretical and empirical foundations, to be used in the multi-disciplinary project SIMULPAST <www.simulpast.es>, but also in other projects involving formalization and computer simulation of social dynamics. Some potential areas for research include: 1. Distributed collective decision making and decision modelling in small groups. 2. Self-organisation through social networks for environmental adaptation response. 3. Social processes and mechanisms: formalization tools and protocols. 4. Multi-agent based social simulation tools. The selected candidate will interact with researchers of different nationalities and backgrounds, and will have financial support to present scientific papers at several conferences and workshops, as well as to publish them in indexed journals. He/she will also be provided with office space, computer, and other facilities as member of UAB’s academic staff. He/she could be eventually asked to teach a maximum of 80 hours per academic year in graduate or post-graduate courses. ","The position will be funded by the Spanish CONSOLIDER-INGENIO program as part of the SIMULPAST project. The gross salary will be 32,000 € per year, but Social Security contributions should be discounted (30% aprox.)","Interested candidates should send a detailed curriculum vitae and a brief statement of their research interests (maximum of 250 words), to GSADI gsadi@uab.cat. Please mention ref: SIMULPAST-CALL in the subject of your message.",http://www.openabm.org/forum/2731,2011-11-30,,Richard,OpenABM,Postdoctoral position,234,
12/1/2011 14:30:30,Postdoc position in Computer Science at Malmö University,"Malmö, Sweden","Department of Computer Science, Malmö University","The successful candidate for the position of post doc must possess a PhD degree, awarded within the last three years. The subject for the degree should be computer science or a closely related subject area. Previous experience within projects relevant for our research profile will be given priority. Experience of developing and managing research projects in collaboration with non-academic agents (industry, business or public sector partners etc.), preferably with external funding, will be given special priority. Teaching skills in relevant areas for the department’s programmes will also be given priority.","The post doc positions entails participation in the development of, as well as research within, the research profile Information Technology for the Society. Duties include:
- the development of and participation in research projects that are relevant to the research profile and the departments degree programmes
- contributing to the research environment and it’s future development
- taking part in the development of the PhD research programme in computer science
- the development of programmes and courses and participating in teaching activities",EUR 3.700 per month for 2 years,"Jan Persson, Head of Department, jan.a.persson@mah.se
Paul Davidsson, Professor of Computer Science, paul.davidsson@mah.se",http://www.mah.se/english/For-Staff/Jobs/Post-doc-postitions-three-in-Computer-Science/,2011-12-15,Computer science,Richard,"Paul Davidsson, paul.davidsson@mah.se",Postdoctoral position,235,
12/9/2011 12:42:39,Chair at Manchester,Manchester,The University of Manchester,"Candidates with expertise relevant to the Social Division, Inequalities and Culture research cluster are especially encouraged to apply (see further particulars). Candidates should share our commitment to theoretically informed empirical research. They should have an excellent record of innovative work, of international quality publications and of successful grant application. They should have an outstanding reputation in their field of expertise.","Applications are invited for the post of Professor of Sociology, tenable from August 2012.  The successful candidate will contribute to research, teaching and strategic leadership in one or more of our existing clusters of activity (see further particulars). ",,martin.everett@MANCHESTER.AC.UK,https://www.jobtrain.co.uk/universityofmanchester/world-leadingminds/Search.aspx,2012-01-16,,Richard,SOCNET,Professorship,235,
12/9/2011 12:49:49,Open PhD Position in Economically Situated Agents / Agent-based Computational Economics,"Hohenheim, Germany",Universitat Hohenheim,"We look for ambitious young people, who are interested in pursuing a PhD project in this field. You have completed (or are about to complete) your Master of Science (MSc) in economics, information systems, computer science, or a related field with distinction. You are aiming for a PhD. You are an open-minded character, able to work in interdisciplinary teams. You possess strong analytical strengths and communicate your ideas clearly, both verbally and formally. You are familiar with micro-economic theories. Game and decision theory are an excellent basis as well. Basic knowledge of agent-based computational economics, agent-based modeling, distributed artificial intelligence, and social simulation would be helpful.","We analyze and design the information-based building blocks of tomorrow’s knowledge society. The informatization of economy and society, processes and products changes enterprises and markets fundamentally. These changes increase the need for efficient coordination along entire supply chains. Multi-agent systems technology is appropriate for meeting this challenge. We employ theories and models from economics for designing new coordination approaches based on multi-agent systems. We evaluate these artifacts by means of simulation, laboratory experiments, and field studies.
We offer international, high-quality research. Stimulating projects. Structured PhD process. Systematic scientific education. Periodic progress reviews. Depending on your qualifi-cation, you will start at 75% or 100% work load. We offer a fixed-term employment contract limited to 2 years at first. An extension of the contract is possible and desired.",Salary according to TV-L E13.,"Your application should include personal statement, curriculum vitae, certificates, transcripts as well as your Masters thesis. Please send your application until December 15, 2011 to: Prof. Dr. Stefan Kirn Lehrstuhl Wirtschaftsinformatik 2, Universität Hohenheim, Schwerzstraße 35, 70599 Stuttgart Email: wi2office@uni-hohenheim.de. For questions please contact: Dipl. oec. Marcus Müller +49 711 459-24161 marcus.mueller@uni-hohenheim.de.",,2011-12-15,"Computer science, Economics",Sascha,,PhD student position,235,
12/9/2011 12:55:09,Ohio State University Diversity Postdoctoral Fellowships,Ohio,Ohio State University,"Applicants must have completed all requirements for a doctoral degree in the social sciences by August 2012. Preference will be given to individuals who are within five years of their degree. Applicants must be committed to an academic career. Applicants must be citizens of the United States.

Up to three fellowships will be awarded. The appointments are intended for two years, with re-appointment for the second year contingent upon a successful performance review. The appointments will begin in August 2012.","The Division of Social and Behavioral Sciences Diversity Postdoctoral Fellowship Program in the College of Arts and Sciences at The Ohio State University supports promising scholars who are committed to diversity in the academy and to prepare those scholars to enter tenure track faculty positions. We are particularly interested in receiving applications from individuals who are members of groups that historically have been underrepresented in the American professoriate.
Fellows will be affiliated with one of the eight academic units of the Division of Social and Behavioral Sciences: Anthropology, Economics, Geography, Communication, Political Science, Psychology, Sociology, and Speech and Hearing Science. The Division also houses four interdisciplinary research units: the Criminal Justice Research Center, the Center for Human Resource Research, the Center for Urban and Regional Analysis, and the Initiative in Population Research. Fellows may also have the opportunity to participate in the activities of the Kirwan Institute for Race and Ethnicity, a multidisciplinary center founded jointly by the Divisions of Social and Behavioral Sciences and Humanities; and the College of Law.",,"Additional details can be found at:
  http://cura.osu.edu/SBS%20Postdoc%20Ad%202011.pdf
",,,,Richard,POLMETH,Postdoctoral position,235,
12/9/2011 12:57:31,Postdoctoral Fellow at Harvard Business School (Experimental Research),"Boston, Massachusetts, US",Harvard Business School,"Applicants must have three to five years relevant experience in experimental research and a Ph.D. in a related field. Ability to manage complex technical development projects and collaborate with senior level researchers on their work. Proficiency in research design required. Experience with emerging research hardware and software strongly desired. Strong customer service orientation. demonstrated problem solving, organizational ability, initiative and communication skills.","The Harvard Business School invites applications for a Postdoctoral Fellow at the Computer Lab for Experimental Research (CLER). The CLER is a central resource for conducting experimental and human subjects research at HBS, and serves approximately 25 faculty researchers each year, supporting research in fields such as decision-making, experimental economics, marketing, organizational behavior, and strategy. Previous CLER Postdoctoral Fellows have had the opportunity to collaborate with HBS faculty across a wide variety of disciplines.
The Postdoctoral Fellow serves as a liaison between researchers who use the CLER lab and the staff who support the lab to ensure successful operation of experiments at HBS. This includes:
- Working with researchers to design, develop, program, and refine experiments;
- Ensuring the successful running of specific experiments and the overall operation of the lab;
- Supporting or conducting experiments using psychophysiological approaches such as eye-tracking, facial expressions analysis, skin conductance;
- Working with researchers and programmers to identify the best short- and long-term technical solutions for programming experiments;
- Developing and expanding experimental infrastructure;
- Implementing projects which enhance HBS research capabilities;
- Evaluating and monitoring the quality of the CLER subject pool and developing strategies to improve subject recruitment and participation; and
- Keeping abreast of evolving technologies and methodologies in the field of experimental research, worldwide.",,"Candidates should submit a current CV, three letters of reference, and copies of publications and working papers, if available. Materials should be submitted online to: www.hbs.edu/research/faculty-recruiting/faculty-applicants.html
If there are materials that can only be sent in hard copy, please send them to: Harvard Business School, Faculty Administration, Attn: CLER Research Fellow Application, Morgan Hall T25, Soldiers Field Road, Boston, MA 02163
Recommenders may submit letters directly at www.hbs.edu/research/faculty-recruiting/recommenders.html. Equal Opportunity/Affirmative Action Employer. Women and minorities are encouraged to apply.",,Consideration of applications will begin immediately and continue until the position is filled.,,Richard,POLMETH,Postdoctoral position,235,
12/9/2011 13:09:36,"Job opening: 4-year PhD position in agent-based socio-geographical support (TU Delft, Netherlands)",The Netherlands,"TU Delft, Faculty/department Electrical Engineering, Mathematics and Computer Science","We are looking for excellent candidates who meet the following requirements:
- an MSc degree in computer science, media and knowledge engineering, human technology interaction, artificial intelligence or a closely related field;
- good programming skills
- excellent communication skills, both spoken and written Dutch and English; non-Dutch speakers should be willing and able to learn Dutch within the first year in order to be able to conduct user studies
- you have a creative mind, like to work to a meticulous level and have stamina
","As part of the COMMIT program, a vacancy position for a PhD student is available. As PhD student you would participate in the Interaction for Universal Access project, which objective is to develop explicit and implicit methods of “natural” interaction and support a diverse group of citizens  to access services in their (social) environment. The work of PhD student will focus on the navigation through socio-geographical environments with agent-based and multimedia-enriched support. This support should help citizens to form relevant mental models of the structure of their social and geographical environment, helping them to feel safe and secure. 
The general research questions are: (1) How do people learn and maintain awareness of the spatial and social structure of their environment with its dynamics? (2) How do they learn to identify the social risks (strangers in the proverbial “dark alley”) and rewards (potential friends)? (3) How can intelligent agents be used to create support systems that can make the socio-geographical inclusion process more efficient?
As a PhD student your tasks concern the following activities:
- perform scientific research
- develop research prototypes using a situated cognitive engineering approach (iterative development cycles, empirical evaluation of prototypes with its users, scenario- and claim-based analysis,and focus group reviews)
- present results in scientific conferences
- publish in renowned scientific journals
- participate in activities of the research group",,"For more information about these positions, please contact Dr. M.B. van Riemsdijk (m.b.vanRiemsdijk@tudelft.nl); or Dr.ir. Brinkman (w.p.brinkman@tudelft.nl). To apply, please submit the following application materials:
(1) Curriculum Vitae including contact details of references.
(2) Course lists with grades.
(3) A letter of application in which you explain both your interest and the relevance of your skills and experience in the context of this research project.
At this stage, please do NOT submit papers or theses that you might have written. You may submit your materials either by post to Ms. J. Eddini, Mekelweg  4, 2628 CD  Delft, The Netherlands; or by e-mail to hr-eemcs@tudelft.nl. When applying for this position, please refer to vacancy number EWI2011-17.",,2012-01-01,,Richard,agents-request,PhD student position,235,
12/9/2011 13:56:27,Research Fellow in Multi-Agent Technology for Future Energy Systems at the University of Southampton,University of Southampton,School of Electronics and Computer Science ,"The successful candidate will work with Professor Nick Jennings and DrAlex Rogers and will join an internationally renowned team applyingtechniques from game theory, mechanism design, and multi-agent systems toa range of complex real-world problems.
You should possess a PhD in a relevant discipline (Computer Science,Engineering, Mathematics, Operations Research, or Economics) and haveestablished a strong research pedigree in your area (as evidenced bypublications in top quality journals and conferences).","Applications are invited for a Research Fellow position in the Agents,Interaction and Complexity Group (http://www.aic.ecs.soton.ac.uk/),in the School of Electronics and Computer Science at the University ofSouthampton. The School is the largest of its kind in the UK and inthe last Research Assessment Exercise (in 2008) Computer Science wasranked joint second in the UK for the quality of its research, with85 per cent of its research work being rated as either world leadingor internationally excellent.","£27,428 to £33,734","The post is fixed term for two years in the first instance and will commence on 01 March 2012. Informal enquiries may be made to Professor Nick Jennings (nrj@ecs.soton.ac.uk) or Dr Alex Rogers (acr@ecs.soton.ac.uk).
Please apply online through http://www.jobs.soton.ac.uk/ or alternatively telephone 023 8059 2750 for an application form. Please quote vacancy reference number 064111FP on all correspondence.",,2011-12-19,,Richard,agents-request,Researcher,235,
12/19/2011 13:02:09,"UCS Research Fellow for Innovation Research Unit, University College Dublin","Dublin, Ireland","Innovation Research Unit, University College Dublin","The Mandatory Requirements for Applicants are:
1.	Degree in Social Sciences / Economics and a relevant PhD in Innovation Research with significant post qualification research experience ideally including an international element and/or enterprise experience.
2.	Experienced Researcher/Research Manager specialised in the field of computational Innovation Research and dedicated to IRU’s mission (min 5 yrs experience at a senior level with typically 4 years Post Doctoral Experience)
3.	They will need to be able to demonstrate a track record in the following areas: •	Publications, as assessed by the norms of their discipline i.e. quality and impact of academic publisher, citations, ranking of journal publications etc. •	Supervision of students, including, where appropriate contributing to undergraduate
project supervision and Masters Dissertations on taught programmes. •	Research leadership in a research group or laboratory with a track record in
managing, and developing research staff in a team environment
•	Contribution to the writing of research proposals which are submitted to peer- reviewed funding processes.
•	Capability to exercise independence in research, as evidenced by, for example, senior authorship/sole authorship of publications and invited presentations at conferences and a track record of communication of research to a wide range of stake holders.
4.	An expert in agent-based modelling (ABM) and social network analysis (SNA) who understands all the projects and the research tasks required
5.	Leadership ability and track record in winning confidences of researchers, stakeholders and partners and skilled at dealing with Senior Executives, influencing at a senior management level as well as proven ability to gain commitment across diverse stakeholders
6.	Demonstrated contribution to management of single research project (reporting, financial management, purchasing etc) and an ability to follow an agreed workplan and manage","The position of Research Fellow is being offered by Innovation Research Unit, UCD.
In the past two years, IRU has grown a high number of international and national research projects on innovation systems such as the FP7 EU project “Managing Emerging Technologies for Economic Impact” (MANETEI) and the PRTLI5 project “Innovation Policy Simulation for the Smart Economy” (IPSE). To support and coordinate these new activities we seek to appoint a Lecturer / Senior Research Fellow who will support the Director of IRU to lead and drive the development and implementation of IRU’s research projects.
The purpose of the role is to deliver a specific research project. The role allows the Research Fellow the professional development opportunity to demonstrate the capacity for independent and self-directed research and scholarship and the management of a research team. The role allows the Fellow to assemble a portfolio of independent achievement and render themselves competitive for tenured academic positions or senior scientific roles in industry.","€46,544 - €68,817","Informal Inquiries should be made by email to Prof. Dr. Petra Ahrweiler , Professor of Technology and Innovation Management: petra.ahrweiler@ucd.ie; Tel: +353 (0)1 716 5367",http://casl.ucd.ie/iru/,1/15/2012,,Richard,"I would like the title to say Research Fellow please. Could you send confirmation to cathy.barker@ucd.ie thanks also I would like to attach a pdf copy of the job offer, could you advise how I do this.",Lecturer,236,
12/21/2011 18:58:29,Advanced Quantitative Methods PhD Opportunity: Exploring Civil Unrest and Violent Crowds in Social Media and Urban space,"Leeds, UK",School of Geography / University of Leeds,"Applications are invited from candidates from either computational science or social science backgrounds; all candidates with a good understanding of criminology, political science or socio-economics are welcome, and training in the necessary quantitative methods can be provided. Typical subjects that applicants may have studied include computer science, criminology, geography, sociology, psychology.","This research project will take a unique perspective on understanding social unrest by combining qualitative and quantitative analysis. The research will use new text and data mining tools to explore the textual content of the social network data in order to identify and localise the patterns and dynamics of civil unrest and to enhance our understanding of how unrest can emerge. The project will also analyse these data quantitatively by exploring spatio-temporal patterns. These analyses will be used to drive a computer model that can help to understand the dynamics of civil unrest, potentially to be used as a tool to help control future outbreaks.",-,For further information please contact Mark Birkin (M.H.Birkin@leeds.ac.uk) or see ,http://www.geog.leeds.ac.uk/research/csap/phd.html,-,"Spatial and Ecological-Economic issues, Policy Making, Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, Complex Systems",Sascha,,PhD student position,236,
12/21/2011 19:23:50,Dynamic Data Assimilation and Error Management in Agent-based Socioeconomic Systems,"Leeds, UK",School of Geography / University of Leeds,"The PhD would be suitable for anyone with a computational, mathematical, or physics-centred background, or anyone with a geographical, geological, meteorological, environmental, or sociological background and a strong interest in modelling human or physical environments.","This PhD will utilise methodologies found in other modelling communities to enhance socio-economic agent-based models (for a review of the techniques, see Evans, 2011). It will additionally develop new techniques to visualise the evolution over time of error surfaces, and investigate the unique opportunities agent-based modelling can bring to bear on the issue of error propagation in non-linear systems (most notably the accurate replication of those relationships in human society that tend to dampen the propagation of instabilities – social negotiation, compromise, group decision making).  The example system used will depend on student interests, however, could be in the areas of retail pricing, crime, or the housing market.",-,"Nick Malleson
http://www.geog.leeds.ac.uk/people/n.malleson",http://www.geog.leeds.ac.uk/fileadmin/downloads/school/study/phd/error_abm.pdf,-,"Spatial and Ecological-Economic issues, Agent-Based Modelling",Sascha,,PhD student position,236,
12/21/2011 19:26:22,Capturing and simulating criminal behaviour through advanced spatial analysis and agent-based modelling,"Leeds, UK",School of Geography / University of Leeds,"Applications are invited from candidates from either computational science or social science backgrounds; candidates with a good understanding of criminology or socioeconomics are welcome, and training in programming, GIS and agent-based modelling can be provided.","The overarching aim of this PhD is the creation of a new classification of criminal behaviour that will be used for creation of a customised population for an existing agent-based model. The objectives can be broken down into:
- A critique of existing classifications and an identification of their shortcomings in terms of grouping types of criminal behaviour;
- Detailed spatiotemporal analysis of the known movement of criminals;
- Linkage of movements to geodemographics to create a new behaviour classification;
- Testing of the new classification through (i) creation of a customised population and (ii) benchmarking against an existing models.",-,"Nick Malleson
http://www.geog.leeds.ac.uk/people/n.malleson",http://www.geog.leeds.ac.uk/fileadmin/downloads/school/study/phd/PhD_Topic_HeppMallNov_2011.pdf,-,"Spatial and Ecological-Economic issues, Agent-Based Modelling",Sascha,,PhD student position,236,
12/21/2011 19:34:30,fully funded for UK/EU applicants,"Bristol, UK","Department of Civil Engineering, University of Bristol","Essential:
- Good programming skills
- Understanding of systems dynamics
- Interest in interdisciplinary research
- A background in either mathematics, complex systems, epidemiology, or a related field
Desirable:
- Advanced mathematical and statistical knowledge
- Crowd modelling, transport modelling or similar experience
- Expertise in C++ programming
- Knowledge of computer modelling and simulation","State of the art disease-spreading models rest on the assumptions that populations are well mixed and homogeneous. However, undergoing research in human crowd behaviour has revealed a number of irregularities and strong spatial and temporal clustering effects in empirical human social networks and physical spaces. Therefore, the goal of this project is to use insights from crowd research to identify the limitations of disease-spreading models and to improve their accuracy where needed.
Through being able to refine models that can more accurately forecast the spread of disease, more informative decisions can be made in developing efficient strategies and policies for vaccination, quarantining and other interventions. This subsequently will allow a more efficient use of existing resources to improve public health and reduce costs of health services operations.","tax-free stipend (£13,590 for 2011/2012)","Dr Anders Johansson, Department of Civil Engineering, University of Bristol
http://www.bris.ac.uk/engineering/people/person/anders-f-johansson/overview.html",http://www.bristol.ac.uk/eng-systems-centre/research/phd-systems/phd-mobility.html,,"Policy Making, Agent-Based Modelling, System Dynamics, Complex Systems, Social Networks",Sascha,,PhD student position,236,
12/24/2011 9:37:36,PhD fellowships in network science at Central European University,"Budapest, Hungary",Central European University,,"Network science, with several fellowship packages. This specialization (within PhD programs in Economics and Political Science) awards a non-degree certificate in network science, offered by the Center for Network Science at CEU (CEU CNS).  Students will enroll and receive their PhD degrees in either the Department of Economics or Political Science. CEU CNS provides an organizational platform for research in network science, with a special focus on applications to practical social problems.  The particular strength of the Center is in its diverse interdisciplinary faculty, and the intellectual leadership of Albert-László Barabási, a part-time faculty member of the Center.",,contact cns@ceu.hu,http://www.ceu.hu/phd-certificate-in-network-science,,"Spatial and Ecological-Economic issues, Market Dynamics, Policy Making, Social Networks",Richard,SOCNET,PhD student position,236,
12/24/2011 10:02:52,Postdoctoral research position: Statistical modeling of social networks,"Melbourne, Australia",University of Melbourne,"Applications are invited for the position of Post-Doctoral Research Fellow on this project at the University of Melbourne. Applicants should have a PhD and a good background in applied statistical modelling; experience in statistical computing and in social network analysis would be a distinct advantage. The project may appeal to statisticians, psychometricians, applied social scientists and computer scientists.","Funding is confirmed for a three-year ARC project on the statistical modelling of social networks and criminal careers, to begin in 2012. The project will investigate extended latent class models for the grouping of actors in social networks, and their application to the dynamics and evolution of complex networks, with applications in social psychology and criminology.
The project will be directed by Professor Murray Aitkin, Department of Mathematics and Statistics, University of Melbourne, with joint principal investigators Professor Pip Pattison, Department of Psychology, University of Melbourne, and Professor Brian Francis, Department of Mathematics and Statistics, University of Lancaster.",,"Detailed information will be available shortly on the University of Melbourne Web site.Further information may be obtained from Professor Murray Aitkin, at murray.aitkin@unimelb.edu.au",,,"Policy Making, Social Conflict and Social Simulation, Social Networks",Richard,SOCNET,Postdoctoral position,236,
12/24/2011 10:09:15,"Vacancies: Official fellows, Nuffield College, Oxford","Oxford, UK",Nuffield College,"The College is looking to appoint two Official Fellows in Sociology with a proven track record in research and publication to commence during 2012 -2013. There is no restriction on the substantive field. Official Fellowships are comparable with tenured research Professorships. Fellows are required to engage in active research leading to publications, and to supervise doctoral students, but will have no course or specific lecturing obligations.","Nuffield College is a social science graduate institution within Oxford University, with a strong research tradition of empirically informed and theoretically aware sociology.","£83,166 per annum plus a generous research allowance","HR Assistant, Nuffield College, Oxford OX1 1NF. Email vacancies@nuffield.ox.ac.uk.",http://www.nuffield.ox.ac.uk/General/Job,The deadline for applications is Monday 16 January 2012.,"Social Conflict and Social Simulation, Societal Transitions, Complex Systems, Social Networks",Richard,SOCNET,Researcher,236,
12/24/2011 10:45:20,Post Doc at Duke,Duke University,Department of Political Science,"The ideal candidate will hold a Ph.D in a social science or statistics and will have strong background in statistical modeling, and an interest in spatial models, Bayesian modeling, latent variable modeling, social networks, and/or causal inference.
","The Department of Political Science at Duke University is inviting applications for a Postdoctoral Associate. The Associate will work on funded projects mainly oriented at developing predictive models of international and domestic conflicts. The Associate's primary responsibility will be to develop and implement spatial models of conflict dynamics, using disaggregated data.
The Associate will be expected to participate in research leading to publications in top journals and help in the management of several scholarly projects with project members. The appointment, which can begin immediately, will be for a one year contract with potential for renewal. The Associate will be supervised by Professor Michael D. Ward. ",,"Applicants should email their CV, a brief statement of their background and interests and contact information for at least three references to: Michael D. Ward, Department of Political Science, Duke University, Durham, NC, 27708; mw160@duke.edu",,Review for this position will begin on 1 January 2012. The position will remain open until filled.,"Spatial and Ecological-Economic issues, Policy Making, Social Conflict and Social Simulation, Societal Transitions",Richard,POLMETH,Postdoctoral position,236,
12/24/2011 11:07:02,"Job opportunity @ Nagoya Institute of Technology, Japan",Japan,"NIT Center for Green Computing, Nagoya Institute of Technology","- Candidates must have the Doctoral degree in computer science or a related field.
- Candidates should have interest on this project, has experience on the following research area and should want to challenge to new research area.
- Programming and software developments
- Auction theory, game theory, or mechanism design theory
- Multi-agent systems and their applications
- Multi-agent simulation","Post-doctoral Researcher, Research Assistant Professor,  Research Associate Professor, Research Professor
Research Project on “Innovating Society Optimization Algorithms that Enable Environmental Society Optimization Simulations, and their Applications” in the Most Advanced and Next Generation Research Development Program.
Background of research: It is the world-wide most important problem that the existing social systems and mechanisms fail to harness and manage environmental changes. This is because the existing social systems and mechanisms are not *globally* optimized by effectively using computers and networks although many efforts have been done against some *parts* of the social systems and mechanisms has been partially optimized.
Research objectives: This research tackles the grand challenge on establishing multi-agent based computational social mechanism design theories, in which we focus on developing novel social systems and mechanisms that are globally optimized by using computers and networks, and apply them to society simulations and real world applications.",,"Takayuki Ito,  Associate Professor,  TEL : +81-52-735-7968, E-mail : ito.takayuki@nitech.ac.jp
Send the documents by e-mail (recommended), convert the documents to PDF files with *** a password ***. Send an e-mail which has the subject “Application Forms” and attach the PDF files. Send the second e-mail which includes the password. If you do not receive any response, please contact to ito.takayuki@nitech.ac.jp as soon as possible.",,,"Spatial and Ecological-Economic issues, Social Conflict and Social Simulation, Societal Transitions, Agent-Based Modelling, System Dynamics, Methods in General, Complex Systems",Richard,agents,(various),236,
12/24/2011 11:44:07,Modeling Software Development Position,"Portland, OR",Parsons Brinckerhoff,,"On behalf of Ben Stabler: ""I work for Parsons Brinckerhoff's Systems Analysis Group, which is an international leader in the development of large-scale simulation models of transportation and land-use systems. Our Portland Oregon team is looking to add someone with excellent software development skills to work on state-of-the-art travel demand forecasting and land use models for public agencies around the world. We develop a variety of computer models, with many of the models running across multiple machines\processors and producing gigabytes of outputs. More information about the position can be found at the link below. Feel free to contact me if you are interested.""",,"Applications for this position must be made online through the Employment Opportunities page at http://www.pbworld.com (job number 14391), or directly at http://search0.smartsearchonline.com/pb/jobs/jobdetails.asp?job_number=1.... Parsons Brinckerhoff is an equal opportunity employer.",http://www.pbworld.com/,,"Spatial and Ecological-Economic issues, Market Dynamics, Policy Making",Richard,OpenABM,PhD student position,236,
12/24/2011 11:45:42,PhD Opportunity: Modelling human mobility in the context of disease spreading,University of Bristol,Systems Centre,,"The project will address the need for systematic research in the area of complex systems models design, with a specific aim to improve the accuracy of disease-spreading models, by incorporating recently discovered real-world human mobility patterns.
State of the art disease-spreading models rest on the assumptions that populations are well mixed and homogeneous. However, undergoing research in human crowd behaviour has revealed a number of irregularities and strong spatial and temporal clustering effects in empirical human social networks and physical spaces. Therefore, the goal of this project is to use insights from crowd research to identify the limitations of disease-spreading models and to improve their accuracy where needed.
Through being able to refine models that can more accurately forecast the spread of disease, more informative decisions can be made in developing efficient strategies and policies for vaccination, quarantining and other interventions. This subsequently will allow a more efficient use of existing resources to improve public health and reduce costs of health services operations.",,For further information: http://www.bristol.ac.uk/eng-systems-centre/research/phd-systems/phd-mobility.html,,,"Social Conflict and Social Simulation, Societal Transitions, System Dynamics, Social Networks",Richard,OpenABM,PhD student position,236,
1/6/2012 10:51:10,Research Officer in Quantitative Text Analysis,European Research Council funded grant Quantitative Text Analysis for the Social Sciences (QUANTESS),Working with Professor Kenneth Benoit (PI),"The successful applicant will be expected to possess advanced skills and experience with computer programming, especially the ability use a language used in text processing such as Python; familiarity with SQL; and experience with the R statistical package or the ability to learn R. The successful candidate should have a postgraduate degree in computer science, computational linguistics, or possibly a cognate social science discipline and have an interest in text analysis and quantitative linguistics, have a knowledge of social science statistics and have worked in a research environment previously.","The research officer’s general duties and responsibilities will be to work with text and the computer organization, storage, processing, and analysis of text. These tasks will involve a combination of programming, database work, and statistical computation. The texts will be drawn from social, political, legal, and commercial examples, and will have a primarily social science focus. The research officer will be expected to work with existing tools for text analysis, actively participate in the development of new tools, and participate in the application of these tools to the social scientific analysis of textual data.
Duration: 24 months; Start Date: 1 March 2012 or as soon as possible thereafter","Salary: £31,998 – £38,737 p.a. incl.","To apply for this post please go to http://www.lse.ac.uk/JobsatLSE and select ""Visit the ONLINE RECRUITMENT SYSTEM web page"". If you have any queries about applying on the online system, please call 020 7955 6656 or email hr.jobs@lse.ac.uk quoting reference 1223243.",http://www.lse.ac.uk/JobsatLSE,31 January 2012 by 23.59 (UK time),"Policy Making, Social Conflict and Social Simulation, Societal Transitions, Methods in General, Complex Systems, Social Networks",Richard,POLMETH,Researcher,237,
