Timestamp,Conference Title,Short Title,Date,Place,Organisation,Submission Deadline,Registration Deadline,Topics,Website,Editor,Taggs,Other:,Issue,Publication,
8/8/2011 14:19:21,"SIMULATION, NORMS AND LAWS  Special issue of the Journal of Artificial Intelligence and Law","SIMULATION, NORMS AND LAWS",2011-11-25,-,Journal of Artificial Intelligence and Law,2011-11-25,,"We invite papers concerned with the application of computer simulation, and in particular  agent-based simulation,  to the study of norms, normative systems (including, but not limited to, the law) and norm-governed behaviour (compliance with norms, their violation, their enforcement, etc.).
We believe that agent-based  simulation can provide a unique contribution to the study of norms and laws. We also believe that the simulation of social behaviour can profit from the models of norms  and institutions developed within legal research, and in particular from those developed within AI & law. With this special issue we hope to stimulate the interplay of computer simulation,  legal research and AI (cognitive science) in the dynamic modelling of normative and legal phenomena, and to  prompt a reflection  on the potential of agent-based simulation for law- and policy-making.",http://www.springer.com/10506/,Richard,"Policy, Reputation, Social Conflict, Social Networks, Social Transition, ABM methodical, Complex Systems",,227,Journal of Artificial Intelligence and Law,
8/18/2011 14:03:41,11th International Conference on Cognitive Modeling,ICCM2012,"April 13-15, 2012","Berlin, Germany","University of Groningen, TU Berlin",2011-12-15,,"The International Conference on Cognitive Modeling (ICCM) is the premier conference for research on computational models and computation-based theories of human behavior. ICCM is a forum for presenting, discussing, and evaluating the complete spectrum of cognitive modeling approaches, including connectionism, symbolic modeling, dynamical systems, Bayesian modeling, and cognitive architectures. ICCM includes basic and applied research, across a wide variety of domains, ranging from low-level perception and attention to higher-level problem-solving and learning. 

Papers, Posters and Symposia",http://www.iccm2012.com/,Sascha,Complex Systems,,227,,
8/18/2011 14:14:16,21st Conference on Behavior Representation in Modeling and Simulation,BRIMS 2012,12-15 March 2012,"Amelia Island, Florida",,2012-01-06,,"BRIMS enables modeling and simulation research scientists, engineers, and technical communities across disciplines to meet, share ideas, identify capability gaps, discuss cutting-edge research directions, highlight promising technologies, and showcase the state-of-the-art in Department of Defense related applications. The BRIMS Conference will consist of many exciting elements in 2012, including special topic areas, technical paper sessions, special symposia/panel discussions, and government laboratory sponsor sessions.",http://www.brimsconference.org,Sascha,"Reputation, ABM methodical, ABM technical, Complex Systems",,227,,
8/22/2011 0:00:13,Special Issues of Simulation Journal,,See description,N/A,,See description,,"You might be interested in the following upcoming call-for-papers for Special Issues to be published in http://sim.sagepub.com/

Simulation, Transactions of the Society of Modeling and Simulation International"".

- M&S Optimization Applications in Industry and Engineering
   - http://www.scs.org/simulation/specialissues?q=node/245
   - Submission of papers due by: April 15, 2011
   - Publication expected: Summer 2012
- Activity Driven Modeling and Simulation: Theory and Applications
  - http://www.scs.org/simulation/specialissues?q=node/133
  - Submission of papers due by: April 30, 2011
  - Publication expected: Spring 2012
- Modeling and Simulation of Aeronautical Systems
  - http://www.scs.org/simulation/specialissues?q=node/255
  - Submission of papers due by: May 30, 2011
  - Publication expected: Fall 2012
- Modeling Sustainability for Third Millennium
  - http://www.scs.org/simulation/specialissues?q=node/202
  - Submission of papers due by: August 1, 2011
  - Publication expected: Fall 2012
- Advancing Simulation Theory and Practice with Distributed Computing
  - http://www.scs.org/simulation/specialissues?q=node/274
  - Submission of papers due by: November 30, 2011
  - Publication expected: Spring 2013
","Advancing Simulation Theory and Practice with Distributed Computing http://www.scs.org/simulation/specialissues?q=node/274    o Submission of papers due by: November 30, 2011   o Publication expected: Spring 2013",Richard,,AISB,227,Special issue of SCS,
8/22/2011 0:14:20,Behavior Representation in Modeling and Simulation,,"12-15 March, 2012","Amelia Island Plantation, Amelia Island, Florida",,2012-01-02,,"Highlights of BRIMS 2012 will include a fantastic lineup of keynote speakers spanning cognitive modeling, sociocultural modeling, and network science.

The BRIMS Executive Committee invites papers, posters, demos, symposia, panel discussions, and tutorials on topics related to the representation of individuals, groups, teams and organizations in models and simulations. All submissions are peer-reviewed (see www.brimsconference.org for additional details on submission types).",http://www.brimsconference.org/,Richard,,AISB,227,,
9/2/2011 12:18:08,"International Journal of Adaptive, Resilient, and Autonomic Systems, Vol.4 No.1",IJARAS 4:1,-,-,Official publication of the Information Resources Management Association,2011-10-03,,"- Mechanisms, both general and special-purpose, to model, design, express, and develop adaptive, autonomic and resilient systems;
- Analytical and simulation tools to measure a system's ability to withstand faults and optimally re-adjust to new environments;
- Conceptual models and paradigms to express change tolerance;
- Methods, models, and architectures to manage and express strategies and provisions for cross-layer adaptation;
- Design-time / run-time methods and tools to identify and enforce optimal trade-offs between energy consumption, performance, safety, and security;
- Scalable, maintainable, cost-effective provisions, located at all system levels, to achieve adaptability and dependability;
- Resilience engineering;
- Autonomic business process execution;
- Adaptive service-oriented computing;
- Evolutionary and embryogenic approaches to autonomic computing, resilience, and adaptive systems;
- Recovery-oriented computing;
- Methods focusing on optimizing quality of experience e.g. adaptive user interfaces;
- Adaptive fault-tolerance, fault-masking, data integrity, and context-aware multimedia, data mining, fault models, system models, routing;
- Autonomous and adaptive systems in robotics;
- Personalization;
- Autonomic applications;
- Architecture-based adaptation;
- ""Self-*"" systems.",http://www.igi-global.com/development/author_info/guidelines%20submission.pdf,Richard,"ABM methodical, ABM technical",agents-request,228,IJARAS,
9/2/2011 12:24:05,10th International Conference on Practical Applications of Agents and Multi-Agent Systems,PAAMS 2012,"28-30th March, 2012","University of Salamanca, Spain",,2011-10-14,,"Problems: Agent-based simulation and prediction, Distributed problem solving, Agent cooperation and negotiation, Agent societies and social networks, Real-time multi-agent systems, Human agent interaction, user interfaces, Adaptation, learning and personalization, Reputation, trust, privacy and security, Agent engineering and development tools, Evaluation, ethical and legal issues

Domains: Information recovery and information systems, Knowledge management and data intensive systems, Intelligent control and manufacturing systems, Embodied agents and autonomous systems, Multi-robot systems and real world robotics, Internet softbots and web intelligence, Virtual agents, animation and games, Pervasive agents and ambient intelligence, E-learning and educational systems, User-centered applications and assisting agents",http://www.paams.net/,Richard,"Policy, Social Conflict, Social Networks, ABM methodical, ABM technical",agents-request,228,Springer,
9/2/2011 13:11:21,11th International Conference on Autonomous Agents and Multiagent Systems,AAMAS 2012,"June 4–8, 2012","Valencia, Spain",,2011-10-12,,"-Agent Communication:
-Agent Cooperation:
-Agent Reasoning:
-Agent Societies and Societal issues:
-Agent Theories, Models and Architectures:
-Agent-based simulation:
-Agent-based system development:
-Agreement Technologies:
-Economic paradigms:
-Learning and Adaptation:
-Systems and Organisation:
-Perspectives",http://aamas2012.webs.upv.es,Sascha,"Reputation, ABM methodical, ABM technical, Complex Systems",,228,,
9/19/2011 10:51:13,"The Seventh International Workshop on
Agent-based Approaches in Economic and Social Complex Systems
",AESCS,"January 17-18, 2012","Kansai University Centenary Memorial Hall, Osaka, Japan","PAAA (Pacific-Asian Association for
Agent-based Approach in Social Systems Sciences) ",2011-10-01 (EXTENDED),,"The topics include, but not limited to:
1) Formal Theories on Agent-based Approaches (Agent-based computational foundations; Theories on rationality, intention, and emotion; Social behaviors, social action, and social interaction; Mathematical organization theory; Mathematical sociology)
2) Computational Economics and Organization Theory (Agent-based computational economics; Econophysics; Market-oriented computing; Artificial markets; Agents in financial engineering; Computational organization theory)
3) Modeling, Simulation and Validation Techniques (Toolkits and methods for agent-based simulation; Large scale social simulation; Validation and verification of simulation results and simulation systems;
4) Gaming Simulation (Gaming simulation; Participatory simulation; Hybridization of agent-based simulation and gaming simulation)
5) Collective Intelligence (Collective decision and behaviors; Emergent intelligence; Social intelligence)
6) Applications of Agent-based Modeling (Organization and industrial design; Electronic commerce; Community design; Environment problems; Emergency management: prevention of disasters, epidemic diseases, and finance collapses; Medical and insurance systems; Public policies; Spatial modeling, pedestrian modeling;  Marketing decision support)
7) Related Areas (Evolutionary economics; Complex adaptive systems, chaotic and fractal dynamics;  Evolutionary computation; Evolutionary games; Population dynamics; Anthropology)
8) Conceptual Model and Methodologies (Conceptual modeling of agent-based approach; Philosophical issues of agent-based modeling)",http://www.paaa.asia/aescs2012.html ,Sascha,"ABM methodical, ABM technical, Complex Systems",,229,,
9/20/2011 13:11:21,11th International Conference on Autonomous Agents and Multiagent Systems: Call for Tutorials and Workshop Proposals,AAMAS 2012,"June 4–8, 2012","Valencia, Spain",,2011-11-09,,"AAMAS 2012 Tutorials should serve one or more of the following
objectives:
* Introduce novices to major topics of AAMAS research.
* Provide instruction in established practices and methodologies.
* Survey a mature area of AAMAS research or practice.
* Motivate and explain an AAMAS topic of emerging importance.
* Introduce expert non-specialists to an AAMAS area.
* Survey an area of agent research especially relevant for people from industry

Workshop Program home page: http://agents.sci.brooklyn.cuny.edu/aamas12wp/",http://aamas2012.webs.upv.es,Sascha,"Reputation, ABM methodical, ABM technical, Complex Systems",,229,,
9/20/2011 11:40:15,"Call for Book Chapters: Information Reuse and Integration In Academia And Industry, Springer",,-,-,,2011-10-15 (Paper Submission),,"The scope of the book will be information reuse and integration in academia and industry including both software and manufacturing industries. The aim of the book is to maximize the reuse of information, tools and services by creating simple, rich, and reusable knowledge representations, to explore strategies for integrating this knowledge into legacy systems. A homogeneous set of papers will be selected by considering the following major topics.
Topics of the main areas include: Reuse in modeling & simulation, Ai & decision support systems, Autonomous agents in web-based systems, Systems of systems, Sensory and information fusion.
Editors: Tansel Özyer, Keivan Kianmehr, Mehmet Tan, Jia Zeng",https://cmt.research.microsoft.com/ACAIN2012/,Richard,,SOCNET,229,Springer,
9/20/2011 11:44:15,2nd Workshop on Computational Social Science                         and the Wisdom of Crowds at NIPS 2011,,December 16 or 17,"Sierra Nevada, Spain",,2011-10-07,,"- Automatic aggregation of opinions or knowledge
- Incentives in social computation (e.g., game-theoretic approaches)
- Prediction markets / information markets
- Studies of events and trends (e.g., in politics)
- Quality control for user generated content
- Analysis of and experiments on distributed collaboration and consensus-building, including crowdsourcing (e.g., Mechanical Turk) and peer-production systems (e.g., Wikipedia and Yahoo! Answers)
- Group dynamics and decision-making
- Modeling network-interaction content (e.g., text analysis of blog posts, tweets, emails, chats, etc.)
- Social networks
- Games with a purpose",http://www.cs.umass.edu/~wallach/workshops/nips2011css/,Richard,,POLMETH,229,,
9/20/2011 11:48:51,6th International Workshop on Self-organizing Systems,IWSOS 2012,"March 15-16, 2012","Delft, The Netherlands",,2011-10-16,,"The workshop scope includes, but is not limited to, the following topical areas in self-organizing systems:
- Modeling & analysis
- Applications & service providers & management
- Risks and security
Building on the success of its predecessors, this workshop aims at bringing together leading international researchers to create a visionary forum for discussing the future of self-organization in networked systems. To make IWSOS 2012 a success, we invite the submission of full or short manuscripts that present original research results or research ideas on the theme of self-organizing systems.",http://iwsos2012.ewi.tudelft.nl/,Richard,,agents-request,229,,
9/20/2011 11:58:03,11th Int. Conf. on Autonomous Agents and Multiagent Systems,AAMAS 2012,4-8 June 2012,"Valencia, Spain",,2011-12-06,,"Call for Workshop Proposals:
http://agents.sci.brooklyn.cuny.edu/aamas12wp

The AAMAS 2012 Organizing Committee invites proposals for the Workshop Program, which will be held on June 4-5, 2012. The main goal of the AAMAS Workshop Program is to stimulate and facilitate active exchange, interaction,
and comparison of approaches, methods, and ideas related to specific topics,
both theoretical and applied, in the general area of Autonomous Agents and
Multi-Agent Systems. Workshops should be organized to facilitate informal
discussion, active engagement and interaction amongst attendees. Members from
all areas of the AAMAS community are invited to submit workshop proposals for
review. Workshops on new, emerging topics or specific relevant aspects of
broader topics are encouraged. The length of individual workshops will either
be half-day or full-day. Workshop organizers and attendees must register for
their workshop and preferably also for the main AAMAS conference.

Call for Tutorials:
The AAMAS 2012 Organizing Committee invites proposals for the Tutorial
Program, to be held on June 4-5, immediately before the technical
conference. AAMAS 2012 Tutorials should serve one or more of the following
objectives:

- Introduce novices to major topics of AAMAS research.
- Provide instruction in established practices and methodologies.
- Survey a mature area of AAMAS research or practice.
- Motivate and explain an AAMAS topic of emerging importance.
- Introduce expert non-specialists to an AAMAS area.
- Survey an area of agent research especially relevant for people from industry
",http://aamas2012.webs.upv.es/,Richard,,agents-request,NONE,,
9/20/2011 12:20:54,Values and Norms in Modeling,,25-27 June 2012,The Netherlands,,2012-01-10,,"It is widely acknowledged that a large variety of values and norms (including epistemic, moral, and political values and norms) play an important role in modeling. Although the literature about value-free science is huge, the specific theme of values and norms exclusively focusing on modeling has not yet received the attention it should. Models are often conceived of as being approximate representations with epistemic or even non-epistemic purposes, which makes them subject to a plethora of normative influences. We are interested in questions such as: How do epistemic and non-epistemic values affect the production and assessment of models? What is the moral significance of these values and norms? To what extent, if any, does the allowance of value assessments threaten the objectivity of models? Would it be desirable, and possible, to eliminate epistemic or non-epistemic values and norms from models?  We invite papers addressing these and related issues from a foundational as well as an applied perspective. We especially welcome contributions on non-epistemic values in engineering modeling, climate modeling and modeling in operations research.",vanim2012@easychair.org,Richard,,AISB,229,,
9/20/2011 23:07:12,"Computational Creativity, Intelligence and Autonomy - Journal Special Issue",,Proposed publication date: summer 2012,-,,2011-11-01,,"To investigate the interplay between these three areas the Cognitive Computation journal plans to publish a special issue on Computational Intelligence, Creativity and Autonomy. We invite all those working in these (typically interdisciplinary) areas to participate in the project by contributing a paper for consideration to the special issue. In this call we particularly encourage submissions that address one or more of the following themes: the philosophy of autonomous computational systems; human and machine creativity; the engineering of intelligent, autonomous and creative systems; Belief-Desire-Intention models for developing autonomous systems.
Keywords: Creativity: human, computational; autonomy, agency, autopoiesis; cognitive computing: A.I. and natural systems; belief, desire, intention.
Please contact either Dr. Katerina Koutsantoni or Prof. Mark Bishop for further information:katerina.koutsantoni@kcl.ac.uk, m.bishop@gold.ac.uk",http://www.aisb.org.uk/convention/aisb11/AISB11_Programme_ver.1.1PageBreaks.html,Richard,,Nick,230,Springer Journal Special Issue,
9/28/2011 2:26:22,2nd International Workshop on Model-driven Approaches for Simulation Engineering,Mod4Sim 2012,3/26/2012,"Orlando, FL, US",SCS,11/15/2011,,"Model-driven engineering approaches have been shown to bring considerable advantages to software systems engineering activities as these approaches provide consistent and coherent means for systems representation in the form of abstract models. As these models are in a machine readable form, model-driven engineering approaches can also support the exploitation of computing capabilities for model blocks reuse, programming code generation, and model checking, for example.
Simulation engineering (i.e. the tasks concerning the definition of a simulation model and its software implementation) is often a central activity to support the design of software and hardware systems. As simulation systems are mainly based on software, these systems can similarly benefit from model-driven approaches to automate software generation, enhance software quality, and reduce costs, development effort and time-to-market.
The workshop on model-driven approaches for simulation engineering (Mod4Sim) aims to bring together experts on Model-based, Model-Driven and software engineering with experts on simulation methods and simulation practitioners, with the objective to advance the state-of-art in model-driven simulation engineering.",http://www.sel.uniroma2.it/Mod4Sim12/,Other,"ABM methodical, ABM technical, Complex Systems",daniele.gianni@esa.int,230,"ACM Digital Library, IEEE Xplorer, IEEE CS Digital Library",
9/30/2011 11:08:41,3rd Workshop on Complex Networks,CompleNet 2012,"March 7-9, 2012 ","Melbourne, Florida, USA ",,2011-11-04,,"-Models of Complex Networks
-Complex Networks and Mobility
-Structural Network Properties and Analysis
-Complex Network in Technology
-Complex Networks in Biological Systems
-Social Networks
-Search in Complex Networks
-Emergence in Complex Networks
-Complex Networks and Epidemics
-Rumor Spreading
-Community Structure in Networks
-Link Analysis and Ranking
-Geometry in Complex Networks
-Shocks and Bursts
-Network Evolution
-Networks as Frameworks
-Synchronization in Networks
-Applications of Network Science ",http://2012.complenet.org/ ,Sascha,Social Networks,,230,,
9/30/2011 11:28:09,Amsterdam Social Science,,-,-,,-,,"Take your chance to get feedback on your first academic endeavors! We are constantly looking for new contributions of articles and essays for upcoming issues. The journal is open to empirical and/or theoretical articles as well as normative essays pertaining to all (sub)fields of social science.
Papers submitted will be peer-refereed and judged on the following criteria:
- Relevance and contribution to research field
- Innovativeness
- Argument structure and style
- Appeal
When submitting your article, please conform to the ASA-style guide, write in British English and include both a short (1-4 lines) biography and an abstract of your paper. Articles should be between 4000 and 7000 words, essays between 2000 and 3000.",http://www.socialscience.nl,Richard,"Social Conflict, Social Networks, Social Transition",SOCNET,230,,
9/30/2011 11:31:49,International AAAI Conference on Weblogs and Social Media,ICWSM,"4-8 June, 2012","Dublin, Ireland",AAAI,2012-01-13 (abstracts),,"Disciplines:
- Computational linguistics/NLP
- Text mining/data mining
- Psychology
- Sociology (including social network analysis)
- Communication
- Anthropology
- Media studies
- Visualization
- Political science
- Computational social science
- HCI
- Economics
- Graph theory, concrete analysis and simulation of graphical models

Media:
- Weblogs, including comments
- Social networking sites
- Microblogs
- Wikis (Wikipedia)
- Forums, mailing lists, newsgroups
- Community media sites (YouTube, Flickr)",http://icwsm.org/,Richard,"Social Conflict, Social Networks, Social Transition",SOCNET,230,All accepted papers and abstracts will be allocated eight (8) pages in the conference proceedings. Authors will be required to transfer copyright of their paper to AAAI.,
9/30/2011 12:00:58,Intelligent Web Services meet Social Computing,IWEBSS,"March 26-28, 2012","Stanford, California, USA, AAAI Spring Symposium 2012",,"2011-10-7 (abstracts, no more than 400 words)",,"-  Social and technical requirements for collaborative web service development
-  Platforms and user interfaces for crowdsourcing web service development
-  Techniques for contextualized reviewing and rating of web services
-  Methods to incentivize, boost, and influence community participation throughout the lifecycle of web services
-  Methods to define service descriptions with LinkedData vocabularies
-  Systems for context- and social-based recommendation of web services
-  Methods for collaborative authoring of semantic annotations (RDFa, SAWSDL)
- Argumentation frameworks and norms for reaching consensus on service implementation, description, and integration
-  Trust in collaborative web service construction
-  Mining, monitoring and analysis of behaviour and activities of web service online communities (such as ProgrammableWeb, and Seekda)
-  Web service usage patterns and associated social and technical parameters
-  Extraction of web service descriptions from tags
-  Case studies for use of social computing to construct and manage web services ",http://vitvar.com/events/aaai-ss12,Richard,,agents-request,230,http://www.easychair.org/conferences/?conf=aaaisymposia2012,
9/30/2011 12:31:43,How the world computes?,CiE 2012,18-23 June 2012,UK,,2012-01-20,,"Admissible sets, Algorithms, Analog computation, Artificial intelligence, Automata theory, Bioinformatics, Classical computability and degree structures, Cognitive science and modelling, Complexity classes, Computability theoretic aspects of programs, Computable analysis and real computation, Computable structures and models, Computational and proof complexity, Computational biology, Computational creativity, Computational learning and complexity, Computational linguistics, Concurrency and distributed computation, Constructive mathematics, Cryptographic complexity, Decidability of theories, Derandomization, DNA computing, Domain theory and computability, Dynamical systems and computational models, Effective descriptive set theory, Emerging and Non-standard Models of Computation, Finite model theory, Formal aspects of program analysis, Formal methods, Foundations of computer science, Games, Generalized recursion theory, History of computation, Hybrid systems, Higher type computability, Hypercomputational models, Infinite time Turing machines, Information theory and computation, Kolmogorov complexity, Lambda and combinatory calculi, L-systems and membrane computation, Machine learning, Mathematical models of emergence, Molecular computation, Morphogenesis and developmental biology, Multi-agent systems, Natural Computation, Neural nets and connectionist models, Philosophy of science and computation, Physics and computability, Probabilistic systems, Process algebras and concurrent systems, Programming language semantics, Proof mining and applications, Proof theory and computability, Proof complexity, Quantum computing and complexity, Randomness, Reducibilities and relative computation, Relativistic computation, Reverse mathematics, Semantics and logic of computation, Swarm intelligence and self-organisation, Type systems and type theory, Uncertain Reasoning, Weak systems of arithmetic and applications",http://www.mathcomp.leeds.ac.uk/turing2012/WScie12/give-page.php?12,Richard,,SSAISB,230,,
9/30/2011 12:35:15,"Computational Creativity, Intelligence and Autonomy",,-,-,,2011-11-01,,"The interplay between AI, creativity and autonomy is currently an exciting area of research in artificial intelligence and cognitive science. This is evidenced, for example, by the many stimulating papers submitted to and subsequently presented at the recent 2011 AISB Computing and Philosophy workshop. For further details on this event, please see the link at the end of this Call.
Fundamental to the notion of what it is to be human, and alongside ideas about intelligence and autonomy, are questions about what it is to be creative. Issues of ""computational creativity"" therefore lie at the heart of the intersection of A.I., Cognitive Science, Philosophy, and the Arts.
An autonomous system is typically considered to be a self-determining system, as distinguished from a system whose behaviour is explicitly externally engineered. The concept of autonomy (and autonomous systems) is therefore central to understanding both intelligent and cognitive systems. In the area of robotics, for instance, issues of embodiment and autonomy are core to the practise of A.I. and,
 in the development of enactivism and emergence, conceptually central to a modern understanding of cognition (an area recently explored by Evan Thompson is his 2007 monograph, 'Mind in Life'). Indeed, some commentators such as Maturana and Varela - in their seminal work on autopoiesis and cognition - go so far as to suggest autonomy a necessary hurdle over which any 'living machine'
with a claim to genuine teleology must leap.",http://www.springer.com/biomed/neuroscience/journal/12559,Richard,,SSAISB,230,"Special issue on Computational Intelligence, Creativity and Autonomy",
10/13/2011 16:32:52,"iEMSs special session on ""Modelling responses to shocks in coupled socio-ecological systems""",H3@iEMSs2012,1-5 July 2012,"Leipzig, Germany",Global Land Project and the ESSA SIG on Spatial and Ecological-Economic issues,2011-11-01 (abstract),,"Coupled socio-ecological systems are complex systems, consisting of many heterogeneous interacting elements. Such systems are characterized by non-linearities and feedbacks: even a small change in one component can cause sudden abrupt change at the system level. Shocks in environmental systems include regime shift as a result of gradual ecosystem degradation, and natural hazards such as floods or droughts, chances of which increase significantly with climate change. Shocks in socio-economic systems comprise such phenomena as economic crises or social unrest. Abrupt shocks either in the ecological or socio-economic subsystem may disturb the whole structure of the coupled system altering the flow and strength of the feedbacks. At the same time complex socio-ecological systems are constantly adapting to changes and evolving over time, so the consequences of the abrupt changes either in ecological or socio-economic subsystems for the adaptive dynamics of coupled system are not immediately obvious. Models that can help exploring, studying and predicting the responses of coupled socio-ecological systems to shocks are consequently in demand. This session aims to bring together scholars using formal (i.e. mathematical or computational) models to study responses to shocks in complex socio-ecological systems. 
The range of questions this session focuses on includes: 
- Case studies of analysis of shocks to socio-ecological systems in the past
- Predictions from scenarios of shocks to contemporary socio-ecological systems
- Abstract models studying shocks to coupled social and environmental systems
- Models of adaptive individual behavior and/or structural behavioral changes in response to environmental shocks, with a special focus on changes due to changing climate
- Methodological approaches to conducting such work.",http://www.iemss.org/sites/iemss2012/sessions_H.html,Sascha,"Complex Systems, Spatial and Ecological-Economic",,231,,
10/13/2011 12:04:57,Application of Social Simulation to Public Policy @ International Conference on Social Science Methodology,SocialSimulation@ISA RC33,July 9 - July 13,"University of Sydney, Sydney, Australia",ACSPRI,2011-12-01 (abstract),,"The purpose of the session is to bring together those with an interest in the application of social simulation techniques to modelling for policy purposes. We would be looking for colleagues advancing new or existing techniques and applications to any area of public policy. The session would be open methodological, conceptual and theoretical submissions as well as case studies. The session is aimed at social scientists with an interest in computer modelling, but also those in statistics and computer science who have entered the area of e-social science research.",http://conference.acspri.org.au/index.php/rc33/2012/index,Sascha,"ABM methodical, Policy",,231,,
10/13/2011 17:05:14,9th International Conference: Computational management science,CMS2012,18-20 April 2012,"Imperial College London, GB","Department of Computing & Centre for Process Systems Engineering, Imperial College London.",2012-02-10,,"The conference is an annual meeting associated with the journal of Computational Management Science (CMS) published by Springer. The aim of this conference is to provide a forum for theoreticians and practitioners from academia and industry to exchange knowledge, ideas and results in a broad range of topics relevant to the theory and practice of computational methods, models and empirical analysis for decision making in economics,
engineering, finance and management.
The focus is on all computational aspects of management science: theoretical and empirical studies of computational methods, models and empirical analysis. These include computational economics, finance and statistics, energy, scheduling, supply chains, design, analysis and applications of optimisation algorithms, deterministic, dynamic, stochastic, robust and combinatorial optimisation models, solution algorithms, learning and forecasting.
Papers presented at the conference will be considered for publication in the journal CMS.
",http://cms2012.doc.ic.ac.uk/,Sascha,Market Dynamics,,231,Computational Management Science (CMS),
10/13/2011 17:18:40,The Fourth IASTED African Conference on Modelling and Simulation,AfricaMS 2012,"September 5 - 7, 2012","Gaborone, Botswana",University of Botswana,2012-04-01,,"MODELLING
- Agent-based Modelling
- Bond Graph Modelling
- Continuous and Discrete Methodologies
- Dynamic Modelling
- Information Communications Technologies
- Mathematical Modelling
- Model Development
- Numerical Methods
- Physically-based Modelling
- Time Series Analysis
- Applications of Simulation in Engineering/Environment/Socio-Economi
SIMULATION
- Discrete Event Simulation
- Distributed Simulation
- Monte Carlo Simulation
- Object-Oriented Implementation
- Simulation Optimization
- Simulation Tools and Languages
- Simulation Uncertainty
- Virtual Reality
- Visualization
- Web-based Simulation",http://www.iasted.org/conferences/home-761.html,Sascha,"Market Dynamics, ABM methodical, ABM technical, Spatial and Ecological-Economic",,231,,
10/14/2011 19:03:57,Second International Symposium in Computational Economics and Finance,ISCEF2012,March 15-17 2012,"Tunis, Tunisia",Amiens School of Management,2012-02-05,,"- Asset pricing - Econometric issues
- Financial Crisis aspects - Nonlinear Dynamics
- Portfolio Management - Computational Economics and Statistics
- Financial Markets - Macroeconomic Dynamics
- Risk Management - Applied Econometrics
- International Finance - Macroeconometric Models
- Financial Instability - Volatility Modeling
- Efficient Capital Market - Data Analysis
- Behavioral finance - Copula and financial complexity
- Market Microstructure - Forecasting
- Quantitative Finance - Nonlinearity and chaos
- Islamic finance - Switching Regime Models
- Ethical Finance - Empirical Finance
- Securitization - Financial Econometrics
- Risk Premium Puzzle - International Economics
- Emerging Markets - Financial Economics
- Financial Risks - Financial Mathematics
- Financial Regulation - Exchange Rate Dynamics
- Real Estate Markets - Monetary Theories and Policies
- Energy Finance - Banking and Interest rate Dynamics
- Historical Finance - DSGE Models
- Complexity in Derivatives - Experimental Economics
- Capital Structure - Heterogeneous Agent Economies ",www.iscef.com,Sascha,Market Dynamics,,231,,
10/13/2011 16:32:52,iEMSs Session on human decisions in natural resource use,H2@iEMSs2012,1-5 July 2012,"Leipzig, Germany",,2011-11-01 (abstract),,"Agent-based models (ABM) allow investigating the influence of human decisions on macro-scale pattern in coupled social-ecological systems (SES). In recent studies very different starting points are used for the representation of decision making in SES models: based on theory (psychological, economic or sociological), on empirical observations or on rather ad-hoc decision making models.
Consequently, quite different aspects are considered, e.g. uncertainty and attitudes towards risk, past experiences, behaviour of other agents, limited availability of information (bounded rationality, heuristic decision making) and alternative income possibilities. This listing illustrates a variety of options exists, likely influencing the outcomes of a simulation study. Thus, attention needs to be paid to the specific decision making process that is part of ABM's in SES.
For this session we invite papers that
   1. Present ABM studies for natural resource use with emphasis on the decision part, including reasons for selection and underlying concepts/theories
   2. Delineate new approaches on modelling decisions regarding natural resource use or
   3. Review the existing literature with regard to this topic.",http://www.iemss.org/sites/iemss2012/sessions_H.html,Sascha,"Complex Systems, ABM methodological",,231,,
10/14/2011 19:37:32,Agent-Directed Simulation Symposium,ADS'12,"March 26-29, 2012","Florida Hotel and Conference Center, Orlando, FL, USA",,2011-11-30,,"The purpose of the ADS symposium is to facilitate dissemination of the most recent advancements in the theory, methodology, application, and toolkits of agent-directed simulation. Agent-directed simulation is comprehensive in the integration of agent and simulation technologies, by including models that use agents to develop domain-specific simulations, i.e., agent simulation (this is often referred to as agent-based simulation -when other two important aspects are not considered), and by also including the use of agent technology to develop simulation techniques and toolkits that are subsequently applied, either with or without agents.",http://www.scs.org/springsim/2012?q=node/205,Sascha,"ABM methodical, ABM technical",,231,,
10/15/2011 15:23:03,Sunbelt XXXII: Call for Abstracts,,"March 14-18, 2012","Redondo Beach, California, USA",INSNA,2011-11-30,,"The Sunbelt XXXII program committee is soliciting abstracts for paper presentations at the upcoming 2012 conference in Redondo Beach, California, USA.  Submission begins on October 4, 2011 and closes on November 30 at 5:00 EST.  We invite abstract submissions for posters (60 minute poster session) and oral presentations (20 minute talk) on topics relevant to social network analysis, including theory, methods, and applications of social network analysis.  Please limit your abstracts to 250 words.  If a series of papers are being submitted as a single panel or session, please indicate this by selecting “Panel” in the Topics section of the abstract submission website and input the Session Title as a keyword.  Paper and poster presentations will begin on March 14 and conclude on March 18.  Presenting authors of accepted submissions must be members of INSNA and must register for and present their work at the meeting.  This stipulation applies to both oral and poster presentations.  Each member may present only one paper at the conference.",http://www.easychair.org/conferences/?conf=sunbelt2012,Richard,Social Networks,SOCNET,231,,
